domain,ipv4,ipv6,cname,mx,dnssec_ad
google.com,142.250.204.46,2404:6800:4012:8::200e,,10 smtp.google.com,
chatgpt.com,104.18.32.47;172.64.155.209,2a06:98c1:3100::6812:202f;2a06:98c1:310b::ac40:9bd1,,,
cool.ntu.edu.tw,140.112.145.153,,,10 mx1.cool.ntu.edu.tw,
notion.so,208.103.161.2;208.103.161.1,2602:f79a::1;2602:f79a::2,,,
pdogs.ntu.im,140.112.106.43,,,10 mxa.mailgun.org;10 mxb.mailgun.org,
canva.com,104.16.102.112;104.16.103.112,2606:4700::6810:6670;2606:4700::6810:6770,,1 aspmx.l.google.com;5 alt1.aspmx.l.google.com;5 alt2.aspmx.l.google.com;10 alt3.aspmx.l.google.com;10 alt4.aspmx.l.google.com,
hackmd.io,75.2.77.152;99.83.179.177,2406:da14:88d:a100:3d73:5fcc:4786:ee29;2406:da14:88d:a102:71cc:b88a:1ced:b47a;2406:da14:88d:a101:152c:824d:bbaa:6696,,1 aspmx.l.google.com;5 alt1.aspmx.l.google.com;5 alt2.aspmx.l.google.com;10 alt3.aspmx.l.google.com;10 alt4.aspmx.l.google.com,
onlinegdb.com,172.67.165.188;104.21.89.227,2606:4700:3035::ac43:a5bc;2606:4700:3030::6815:59e3,,10 us2.mx2.mailhostbox.com;10 us2.mx3.mailhostbox.com;100 us2.mx1.mailhostbox.com,
youtube.com,142.250.66.78,2404:6800:4012:6::200e,,0 smtp.google.com,
ilovepdf.com,104.18.35.86;172.64.152.170,2606:4700:4402::ac40:98aa;2606:4700:4401::6812:2356,,1 aspmx.l.google.com;10 aspmx2.googlemail.com;10 aspmx3.googlemail.com;5 alt1.aspmx.l.google.com;5 alt2.aspmx.l.google.com,
