domain,trial,rtt_ms,loss_pct,speed_Bps
google.com,1,8.733,0.0,1285
google.com,2,8.303,0.0,1373
google.com,3,11.405,0.0,1356
google.com,4,8.485,0.0,1288
google.com,5,9.293,0.0,1264
chatgpt.com,1,143.323,0.0,4700
chatgpt.com,2,142.589,20.0,15427
chatgpt.com,3,143.126,0.0,15557
chatgpt.com,4,142.970,0.0,14645
chatgpt.com,5,143.522,0.0,15533
cool.ntu.edu.tw,1,7.040,0.0,2216
cool.ntu.edu.tw,2,5.618,0.0,2516
cool.ntu.edu.tw,3,7.512,0.0,2329
cool.ntu.edu.tw,4,4.629,0.0,2046
cool.ntu.edu.tw,5,6.722,0.0,2064
notion.so,1,142.528,0.0,386
notion.so,2,142.952,0.0,306
notion.so,3,145.699,0.0,383
notion.so,4,151.104,0.0,113
notion.so,5,143.432,0.0,392
pdogs.ntu.im,1,7.868,0.0,40453
pdogs.ntu.im,2,6.093,0.0,36773
pdogs.ntu.im,3,6.097,0.0,42671
pdogs.ntu.im,4,6.242,0.0,45223
pdogs.ntu.im,5,6.894,0.0,39477
canva.com,1,134.437,0.0,382
canva.com,2,137.978,0.0,371
canva.com,3,135.785,0.0,356
canva.com,4,135.356,0.0,362
canva.com,5,135.322,0.0,383
hackmd.io,1,20.132,0.0,489663
hackmd.io,2,20.594,0.0,747442
hackmd.io,3,20.505,0.0,754442
hackmd.io,4,22.278,0.0,789854
hackmd.io,5,19.729,0.0,789211
onlinegdb.com,1,141.748,0.0,0
onlinegdb.com,2,142.663,0.0,0
onlinegdb.com,3,148.037,0.0,0
onlinegdb.com,4,142.550,0.0,0
onlinegdb.com,5,142.766,0.0,0
youtube.com,1,7.740,0.0,0
youtube.com,2,9.082,0.0,0
youtube.com,3,12.113,20.0,0
youtube.com,4,10.685,0.0,0
youtube.com,5,9.592,0.0,0
ilovepdf.com,1,158.794,0.0,257
ilovepdf.com,2,174.593,0.0,146
ilovepdf.com,3,142.316,0.0,259
ilovepdf.com,4,142.532,0.0,257
ilovepdf.com,5,142.576,0.0,261
