canva.com,5,135.776,1.18527,0,0.0029664,8.54765e-05
chatgpt.com,5,143.106,0.318223,4,0.105379,0.0339962
cool.ntu.edu.tw,5,6.3042,1.04421,0,0.0178736,0.00139996
domain,trials_ok,avg_rtt_ms,std_rtt_ms,avg_loss_pct,avg_speed_Mbps,std_speed_Mbps
google.com,5,9.2438,1.13093,0,0.0105056,0.000344257
hackmd.io,5,20.6476,0.870756,0,5.71298,0.908565
ilovepdf.com,5,152.162,12.874,0,0.001888,0.000360196
notion.so,5,145.143,3.17518,0,0.002528,0.000850216
onlinegdb.com,5,143.553,2.27076,0,0,0
pdogs.ntu.im,5,6.6388,0.681902,0,0.327355,0.0229308
youtube.com,5,9.8424,1.47828,4,0,0
